gene	gene_class	abnormal_n	abnormal_rate	normal_n	normal_rate	control_n	control_rate	delta_rate_ab_ctrl	p_abnormal_vs_control
TP53BP1	histone_read	10	0.12987012987012986	33	0.07894736842105263	6	0.0392156862745098	0.09065444359562005	0.013378809603456401
HINFP	histone_read	3	0.03896103896103896	0	0.0	0	0.0	0.03896103896103896	0.03654831972659958
HUWE1	histone_write	3	0.03896103896103896	7	0.01674641148325359	0	0.0	0.03896103896103896	0.03654831972659958
UBR5	chromatin_remodeling	3	0.03896103896103896	7	0.01674641148325359	0	0.0	0.03896103896103896	0.03654831972659958
NASP	chromatin_remodeling	5	0.06493506493506493	6	0.014354066985645933	2	0.013071895424836602	0.051863169510228325	0.04357013743734568
ATAD2B	histone_read	4	0.05194805194805195	3	0.007177033492822967	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
BANP	histone_write	4	0.05194805194805195	2	0.004784688995215311	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
CHD1L	chromatin_remodeling	4	0.05194805194805195	6	0.014354066985645933	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
KDM4A	histone_erase	4	0.05194805194805195	7	0.01674641148325359	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
NAT10	histone_write	4	0.05194805194805195	10	0.023923444976076555	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
TLE2	histone_other	4	0.05194805194805195	9	0.0215311004784689	1	0.006535947712418301	0.04541210423563365	0.04417828550321416
DMAP1	chromatin_remodeling	7	0.09090909090909091	12	0.028708133971291867	5	0.032679738562091505	0.058229352346999406	0.06271368255972738
NSRP1	rna_modification	9	0.11688311688311688	19	0.045454545454545456	8	0.05228758169934641	0.06459553518377048	0.06959087263342864
PHF2	histone_erase	6	0.07792207792207792	23	0.05502392344497608	4	0.026143790849673203	0.05177828707240471	0.07350914334423998
PRKDC	histone_write	13	0.16883116883116883	50	0.11961722488038277	15	0.09803921568627451	0.07079195314489432	0.09252232068187459
APOBEC3G	dna_modification	3	0.03896103896103896	5	0.011961722488038277	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
ATN1	histone_erase	3	0.03896103896103896	4	0.009569377990430622	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
BRMS1L	histone_erase	3	0.03896103896103896	4	0.009569377990430622	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
DND1	rna_modification	3	0.03896103896103896	1	0.0023923444976076554	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
KDM2B	histone_erase	3	0.03896103896103896	12	0.028708133971291867	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
MDC1	histone_read	3	0.03896103896103896	10	0.023923444976076555	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
PHF13	histone_read	3	0.03896103896103896	2	0.004784688995215311	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
ZMYM3	histone_erase	3	0.03896103896103896	5	0.011961722488038277	1	0.006535947712418301	0.03242509124862066	0.11044998824866659
AURKA	histone_write	2	0.025974025974025976	3	0.007177033492822967	0	0.0	0.025974025974025976	0.11110689196886273
HCFC2	histone_write	2	0.025974025974025976	4	0.009569377990430622	0	0.0	0.025974025974025976	0.11110689196886273
HDAC5	histone_erase	2	0.025974025974025976	6	0.014354066985645933	0	0.0	0.025974025974025976	0.11110689196886273
HMGN5	chromatin_remodeling	2	0.025974025974025976	1	0.0023923444976076554	0	0.0	0.025974025974025976	0.11110689196886273
JADE1	histone_write	2	0.025974025974025976	1	0.0023923444976076554	0	0.0	0.025974025974025976	0.11110689196886273
MAP3K7	histone_write	2	0.025974025974025976	1	0.0023923444976076554	0	0.0	0.025974025974025976	0.11110689196886273
PSIP1	chromatin_remodeling	2	0.025974025974025976	5	0.011961722488038277	0	0.0	0.025974025974025976	0.11110689196886273
RARA	histone_write	2	0.025974025974025976	1	0.0023923444976076554	0	0.0	0.025974025974025976	0.11110689196886273
SMYD2	histone_write	2	0.025974025974025976	2	0.004784688995215311	0	0.0	0.025974025974025976	0.11110689196886273
SP140	histone_read	2	0.025974025974025976	3	0.007177033492822967	0	0.0	0.025974025974025976	0.11110689196886273
SUPT3H	histone_write	2	0.025974025974025976	5	0.011961722488038277	0	0.0	0.025974025974025976	0.11110689196886273
PARG	chromatin_remodeling	6	0.07792207792207792	19	0.045454545454545456	5	0.032679738562091505	0.045242339359986415	0.11868505248707305
DAPK3	histone_write	5	0.06493506493506493	13	0.03110047846889952	4	0.026143790849673203	0.03879127408539172	0.14252789342356828
CHD8	chromatin_remodeling	4	0.05194805194805195	16	0.03827751196172249	3	0.0196078431372549	0.03234020881079705	0.1721326385619438
ASXL1	polycomb	6	0.07792207792207792	22	0.05263157894736842	6	0.0392156862745098	0.03870639164756812	0.17465642241441873
DNMT1	dna_modification	9	0.11688311688311688	42	0.10047846889952153	11	0.0718954248366013	0.04498769204651558	0.18427562848126255
PARP1	chromatin_remodeling	9	0.11688311688311688	32	0.07655502392344497	11	0.0718954248366013	0.04498769204651558	0.18427562848126255
BAZ1B	histone_write	3	0.03896103896103896	2	0.004784688995215311	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
BRD9	histone_read	3	0.03896103896103896	18	0.0430622009569378	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
DDX50	rna_modification	3	0.03896103896103896	4	0.009569377990430622	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
NIPBL	histone_erase	3	0.03896103896103896	6	0.014354066985645933	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
NOC2L	chromatin_remodeling	3	0.03896103896103896	13	0.03110047846889952	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
PRDM16	histone_write	3	0.03896103896103896	17	0.04066985645933014	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
PRKAA2	histone_write	3	0.03896103896103896	4	0.009569377990430622	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
TAF1	histone_write	3	0.03896103896103896	5	0.011961722488038277	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
TEX10	histone_write	3	0.03896103896103896	2	0.004784688995215311	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
UBN1	histone_write	3	0.03896103896103896	15	0.03588516746411483	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
ZNF592	histone_erase	3	0.03896103896103896	15	0.03588516746411483	2	0.013071895424836602	0.025889143536202357	0.20985754236684517
KDM3A	histone_erase	5	0.06493506493506493	25	0.05980861244019139	5	0.032679738562091505	0.032255326372973424	0.2115466435028966
MLLT10	histone_write	11	0.14285714285714285	42	0.10047846889952153	15	0.09803921568627451	0.04481792717086834	0.21216926320847884
SMARCAL1	chromatin_remodeling	10	0.12987012987012986	28	0.06698564593301436	14	0.0915032679738562	0.038366861896273655	0.24828994641037583
EHMT1	histone_write	11	0.14285714285714285	41	0.09808612440191387	16	0.10457516339869281	0.038281979458450036	0.2596748860146502
ZNF516	histone_erase	11	0.14285714285714285	45	0.1076555023923445	16	0.10457516339869281	0.038281979458450036	0.2596748860146502
A1CF	rna_modification	2	0.025974025974025976	9	0.0215311004784689	1	0.006535947712418301	0.019438078261607674	0.260224036453389
ALKBH1	dna_modification	2	0.025974025974025976	5	0.011961722488038277	1	0.006535947712418301	0.019438078261607674	0.260224036453389
ASF1B	histone_chaperone	2	0.025974025974025976	5	0.011961722488038277	1	0.006535947712418301	0.019438078261607674	0.260224036453389
ATAD2	chromatin_remodeling	2	0.025974025974025976	7	0.01674641148325359	1	0.006535947712418301	0.019438078261607674	0.260224036453389
ATR	histone_write	2	0.025974025974025976	12	0.028708133971291867	1	0.006535947712418301	0.019438078261607674	0.260224036453389
BRPF1	histone_read	2	0.025974025974025976	4	0.009569377990430622	1	0.006535947712418301	0.019438078261607674	0.260224036453389
CHRAC1	histone_chaperone	2	0.025974025974025976	1	0.0023923444976076554	1	0.006535947712418301	0.019438078261607674	0.260224036453389
CIR1	histone_read	2	0.025974025974025976	4	0.009569377990430622	1	0.006535947712418301	0.019438078261607674	0.260224036453389
METTL11B	histone_write	2	0.025974025974025976	4	0.009569377990430622	1	0.006535947712418301	0.019438078261607674	0.260224036453389
NSUN6	rna_modification	2	0.025974025974025976	3	0.007177033492822967	1	0.006535947712418301	0.019438078261607674	0.260224036453389
PAF1	histone_write	2	0.025974025974025976	9	0.0215311004784689	1	0.006535947712418301	0.019438078261607674	0.260224036453389
PRKAG3	histone_write	2	0.025974025974025976	3	0.007177033492822967	1	0.006535947712418301	0.019438078261607674	0.260224036453389
RBM7	rna_modification	2	0.025974025974025976	7	0.01674641148325359	1	0.006535947712418301	0.019438078261607674	0.260224036453389
RNPS1	rna_modification	2	0.025974025974025976	2	0.004784688995215311	1	0.006535947712418301	0.019438078261607674	0.260224036453389
SCMH1	polycomb	2	0.025974025974025976	4	0.009569377990430622	1	0.006535947712418301	0.019438078261607674	0.260224036453389
SP1	chromatin_remodeling	2	0.025974025974025976	3	0.007177033492822967	1	0.006535947712418301	0.019438078261607674	0.260224036453389
TRA2B	rna_modification	2	0.025974025974025976	0	0.0	1	0.006535947712418301	0.019438078261607674	0.260224036453389
ZBTB33	histone_erase	2	0.025974025974025976	5	0.011961722488038277	1	0.006535947712418301	0.019438078261607674	0.260224036453389
MYBBP1A	chromatin_remodeling	18	0.23376623376623376	67	0.16028708133971292	29	0.1895424836601307	0.04422375010610305	0.2681743734325245
ASH1L	histone_write	5	0.06493506493506493	17	0.04066985645933014	6	0.0392156862745098	0.025719378660555126	0.2889313026827495
BAZ2A	chromatin_remodeling	5	0.06493506493506493	25	0.05980861244019139	6	0.0392156862745098	0.025719378660555126	0.2889313026827495
BAZ2B	histone_read	5	0.06493506493506493	24	0.05741626794258373	6	0.0392156862745098	0.025719378660555126	0.2889313026827495
MBD6	chromatin_remodeling	5	0.06493506493506493	29	0.06937799043062201	6	0.0392156862745098	0.025719378660555126	0.2889313026827495
KMT2D	histone_write	17	0.22077922077922077	93	0.22248803827751196	28	0.1830065359477124	0.03777268483150836	0.30372284516403614
USP17L2	histone_erase	6	0.07792207792207792	11	0.02631578947368421	8	0.05228758169934641	0.025634496222731513	0.3100958737938038
ARID2	chromatin_remodeling	11	0.14285714285714285	52	0.12440191387559808	17	0.1111111111111111	0.031746031746031744	0.310594416226191
ADNP	chromatin_remodeling	3	0.03896103896103896	12	0.028708133971291867	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
ARNTL	histone_write	3	0.03896103896103896	16	0.03827751196172249	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
ATRX	chromatin_remodeling	3	0.03896103896103896	11	0.02631578947368421	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
DTX3L	histone_write	3	0.03896103896103896	9	0.0215311004784689	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
METTL4	dna_modification	3	0.03896103896103896	5	0.011961722488038277	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
PPARGC1A	histone_other	3	0.03896103896103896	4	0.009569377990430622	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
RBM15B	rna_modification	3	0.03896103896103896	9	0.0215311004784689	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
TNP2	chromatin_remodeling	3	0.03896103896103896	5	0.011961722488038277	3	0.0196078431372549	0.01935319582378406	0.3210467325286598
ACTL6B	chromatin_remodeling	1	0.012987012987012988	2	0.004784688995215311	0	0.0	0.012987012987012988	0.3347826086956522
ACTR6	chromatin_remodeling	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
AEBP2	histone_write	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
ANP32A	chromatin_remodeling	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
APOBEC3F	dna_modification	1	0.012987012987012988	6	0.014354066985645933	0	0.0	0.012987012987012988	0.3347826086956522
BAP1	polycomb	1	0.012987012987012988	3	0.007177033492822967	0	0.0	0.012987012987012988	0.3347826086956522
BRCC3	histone_erase	1	0.012987012987012988	3	0.007177033492822967	0	0.0	0.012987012987012988	0.3347826086956522
BRD2	histone_read	1	0.012987012987012988	3	0.007177033492822967	0	0.0	0.012987012987012988	0.3347826086956522
CDC73	histone_write	1	0.012987012987012988	1	0.0023923444976076554	0	0.0	0.012987012987012988	0.3347826086956522
CDK9	histone_other	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
CHAF1B	chromatin_remodeling	1	0.012987012987012988	2	0.004784688995215311	0	0.0	0.012987012987012988	0.3347826086956522
