gene	gene_class	abnormal_n	abnormal_rate	normal_n	normal_rate	control_n	control_rate	delta_rate_ab_ctrl	p_abnormal_vs_control
EHMT1	histone_write	13	0.16883116883116883	24	0.05741626794258373	9	0.058823529411764705	0.11000763941940413	0.00871487000946149
HAT1	histone_write	31	0.4025974025974026	161	0.38516746411483255	38	0.24836601307189543	0.1542313895255072	0.012657273209232423
SMYD3	histone_write	44	0.5714285714285714	213	0.5095693779904307	67	0.43790849673202614	0.13352007469654525	0.03807964644582391
CIT	histone_write	25	0.3246753246753247	74	0.17703349282296652	32	0.20915032679738563	0.11552499787793905	0.041039333968357045
ZNF516	histone_erase	29	0.37662337662337664	144	0.3444976076555024	46	0.3006535947712418	0.07596978185213482	0.15606363412775479
KDM4C	histone_erase	23	0.2987012987012987	83	0.19856459330143542	35	0.22875816993464052	0.06994312876665817	0.1605736337933294
HDAC9	histone_erase	7	0.09090909090909091	32	0.07655502392344497	8	0.05228758169934641	0.038621509209744505	0.19929389730510147
RBFOX1	rna_modification	31	0.4025974025974026	148	0.35406698564593303	52	0.33986928104575165	0.06272812155165097	0.21451682693157254
FTO	rna_modification	43	0.5584415584415584	195	0.4665071770334928	76	0.49673202614379086	0.061709532297767544	0.22856207284565283
PRMT8	histone_write	15	0.19480519480519481	60	0.14354066985645933	23	0.1503267973856209	0.044478397419573906	0.24944550694481143
FOXP1	tf	7	0.09090909090909091	30	0.07177033492822966	9	0.058823529411764705	0.03208556149732621	0.2602779308764028
JARID2	histone_write	28	0.36363636363636365	154	0.3684210526315789	48	0.3137254901960784	0.04991087344028522	0.26956431461948854
PRDM11	histone_write	5	0.06493506493506493	32	0.07655502392344497	6	0.0392156862745098	0.025719378660555126	0.2889313026827495
KDM6B	histone_erase	43	0.5584415584415584	201	0.48086124401913877	78	0.5098039215686274	0.04863763687293099	0.28895287725107865
KDM4B	histone_erase	24	0.3116883116883117	74	0.17703349282296652	41	0.2679738562091503	0.04371445547916136	0.2929933791835413
MBTD1	polycomb	6	0.07792207792207792	35	0.08373205741626795	8	0.05228758169934641	0.025634496222731513	0.3100958737938038
APOBEC3A	dna_modification	23	0.2987012987012987	92	0.22009569377990432	40	0.26143790849673204	0.03726339020456665	0.32730434981382145
ASXL2	histone_read	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
BRWD3	histone_read	1	0.012987012987012988	1	0.0023923444976076554	0	0.0	0.012987012987012988	0.3347826086956522
DOT1L	histone_write	1	0.012987012987012988	1	0.0023923444976076554	0	0.0	0.012987012987012988	0.3347826086956522
KDM6A	histone_erase	1	0.012987012987012988	1	0.0023923444976076554	0	0.0	0.012987012987012988	0.3347826086956522
PHF20	histone_write	1	0.012987012987012988	0	0.0	0	0.0	0.012987012987012988	0.3347826086956522
