gene	hhi	n_abnormal	n_sites	max_site_abnormal	max_site_share
ELP2	1.0	15	1	15	1.0
TRIM16	1.0	15	1	15	1.0
FOXO1	1.0	7	1	7	1.0
CDK3	1.0	6	1	6	1.0
NEK9	1.0	6	1	6	1.0
TRUB2	1.0	6	1	6	1.0
SAP25	1.0	5	1	5	1.0
STK4	1.0	5	1	5	1.0
EXOSC8	1.0	4	1	4	1.0
FOXP1	1.0	4	1	4	1.0
JAK2	1.0	4	1	4	1.0
PRDM5	1.0	4	1	4	1.0
ZMYND8	1.0	4	1	4	1.0
ATRX	1.0	3	1	3	1.0
ATXN7	1.0	3	1	3	1.0
FOXP3	1.0	3	1	3	1.0
FOXP4	1.0	3	1	3	1.0
L3MBTL2	1.0	3	1	3	1.0
MECP2	1.0	3	1	3	1.0
MIS18BP1	1.0	3	1	3	1.0
PHF13	1.0	3	1	3	1.0
SIRT6	1.0	3	1	3	1.0
TOP2B	0.913223140495868	22	2	21	0.9545454545454546
CHUK	0.7551020408163265	7	2	6	0.8571428571428571
APEX1	0.7222222222222223	6	2	5	0.8333333333333334
PRKAG2	0.7222222222222223	6	2	5	0.8333333333333334
RBM24	0.7222222222222223	6	2	5	0.8333333333333334
THRAP3	0.7222222222222223	5	2	5	0.8333333333333334
FBRSL1	0.7083333333333334	12	3	10	0.8333333333333334
EHMT1	0.7024793388429753	11	2	9	0.8181818181818182
DAPK3	0.6800000000000002	5	2	4	0.8
MBD6	0.6800000000000002	5	2	4	0.8
PRMT2	0.6800000000000002	5	2	4	0.8
PARP1	0.6296296296296297	9	3	7	0.7777777777777778
CHD5	0.625	4	2	3	0.75
CHD8	0.625	4	2	3	0.75
PKN1	0.625	4	2	3	0.75
TAF3	0.625	4	2	3	0.75
ARNTL	0.5555555555555556	3	2	2	0.6666666666666666
ATN1	0.5555555555555556	3	2	2	0.6666666666666666
BRD1	0.5555555555555556	3	2	2	0.6666666666666666
BRD9	0.5555555555555556	3	2	2	0.6666666666666666
BRMS1L	0.5555555555555556	3	2	2	0.6666666666666666
HLTF	0.5555555555555556	3	2	2	0.6666666666666666
HUWE1	0.5555555555555556	3	2	2	0.6666666666666666
PRDM16	0.5555555555555556	3	2	2	0.6666666666666666
PRDM7	0.5555555555555556	3	2	2	0.6666666666666666
USP44	0.5555555555555556	3	2	2	0.6666666666666666
ZCWPW1	0.5555555555555556	3	2	2	0.6666666666666666
ZMYM3	0.5555555555555556	3	2	2	0.6666666666666666
MST1	0.52	5	2	3	0.6
DNMT1	0.5199999999999999	9	4	7	0.7
PRMT9	0.5165289256198348	22	2	13	0.5909090909090909
ASXL1	0.5	6	3	4	0.6666666666666666
PRDM2	0.5	6	3	4	0.6666666666666666
ARID2	0.48760330578512395	11	3	7	0.6363636363636364
ZNF516	0.45454545454545453	11	4	7	0.6363636363636364
MYBBP1A	0.45000000000000007	18	6	13	0.65
CHD7	0.44	5	3	3	0.6
KANSL1	0.44	5	3	3	0.6
KDM5A	0.44	5	3	3	0.6
NASP	0.44	5	3	3	0.6
TET2	0.44	5	3	3	0.6
HDAC4	0.44	4	3	3	0.6
USP36	0.4266117969821674	25	8	17	0.6296296296296297
SMARCAL1	0.42	10	4	6	0.6
KMT2A	0.40625	8	3	4	0.5
PHF2	0.3888888888888889	6	3	3	0.5
NSRP1	0.3827160493827161	9	4	5	0.5555555555555556
HDAC10	0.375	4	3	2	0.5
MPND	0.375	4	3	2	0.5
NAT10	0.375	4	3	2	0.5
SETDB1	0.375	4	3	2	0.5
SFMBT1	0.375	4	3	2	0.5
USP49	0.375	4	3	2	0.5
APOBEC3G	0.375	3	3	2	0.5
DND1	0.375	3	3	2	0.5
PIWIL4	0.375	3	3	2	0.5
ZRANB3	0.375	3	3	2	0.5
SETD5	0.3600000000000001	5	3	2	0.4
ADNP	0.3333333333333333	3	3	1	0.3333333333333333
ARID1A	0.3333333333333333	3	3	1	0.3333333333333333
BAZ1B	0.3333333333333333	3	3	1	0.3333333333333333
CIT	0.3333333333333333	3	3	1	0.3333333333333333
CREBBP	0.3333333333333333	3	3	1	0.3333333333333333
CTBP2	0.3333333333333333	3	3	1	0.3333333333333333
DDX50	0.3333333333333333	3	3	1	0.3333333333333333
DTX3L	0.3333333333333333	3	3	1	0.3333333333333333
FBRS	0.3333333333333333	3	3	1	0.3333333333333333
GSE1	0.3333333333333333	3	3	1	0.3333333333333333
HINFP	0.3333333333333333	3	3	1	0.3333333333333333
KDM2B	0.3333333333333333	3	3	1	0.3333333333333333
MDC1	0.3333333333333333	3	3	1	0.3333333333333333
METTL4	0.3333333333333333	3	3	1	0.3333333333333333
MSH6	0.3333333333333333	3	3	1	0.3333333333333333
NCOR1	0.3333333333333333	3	3	1	0.3333333333333333
NIPBL	0.3333333333333333	3	3	1	0.3333333333333333
NOC2L	0.3333333333333333	3	3	1	0.3333333333333333
PPARGC1A	0.3333333333333333	3	3	1	0.3333333333333333
PRKAA2	0.3333333333333333	3	3	1	0.3333333333333333
RAI1	0.3333333333333333	3	3	1	0.3333333333333333
RBM15	0.3333333333333333	3	3	1	0.3333333333333333
SETD2	0.3333333333333333	3	3	1	0.3333333333333333
SUPT6H	0.3333333333333333	3	3	1	0.3333333333333333
TAF1	0.3333333333333333	3	3	1	0.3333333333333333
TEX10	0.3333333333333333	3	3	1	0.3333333333333333
