gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
ASXL3	polycomb	47	1.0	439	0.9799107142857143	149	0.9738562091503268	0.0200892857142857	0.02614379084967322	1	0.02127659574468085	53	0.11830357142857142	11	0.0718954248366013	-0.09702697568389057	-0.05061882909192045
BAHD1	chromatin_remodeling	47	1.0	431	0.9620535714285714	149	0.9738562091503268	0.0379464285714286	0.02614379084967322	1	0.02127659574468085	10	0.022321428571428572	2	0.013071895424836602	-0.0010448328267477214	0.008204700319844249
BRCA2	histone_write	47	1.0	446	0.9955357142857143	153	1.0	0.004464285714285698	0.0	5	0.10638297872340426	33	0.07366071428571429	16	0.10457516339869281	0.03272226443768997	0.0018078153247114426
BRDT	histone_read	47	1.0	446	0.9955357142857143	152	0.9934640522875817	0.004464285714285698	0.006535947712418277	0	0.0	6	0.013392857142857142	1	0.006535947712418301	-0.013392857142857142	-0.006535947712418301
CHD5	chromatin_remodeling	47	1.0	445	0.9933035714285714	150	0.9803921568627451	0.006696428571428603	0.019607843137254943	1	0.02127659574468085	27	0.060267857142857144	6	0.0392156862745098	-0.0389912613981763	-0.017939090529828953
CRB2	histone_read	47	1.0	446	0.9955357142857143	151	0.9869281045751634	0.004464285714285698	0.013071895424836555	6	0.1276595744680851	25	0.05580357142857143	12	0.0784313725490196	0.07185600303951367	0.04922820191906549
ELP4	histone_write	47	1.0	442	0.9866071428571429	149	0.9738562091503268	0.013392857142857095	0.02614379084967322	1	0.02127659574468085	5	0.011160714285714286	3	0.0196078431372549	0.010115881458966565	0.0016687526074259489
ERCC6	chromatin_remodeling	47	1.0	447	0.9977678571428571	153	1.0	0.0022321428571429047	0.0	2	0.0425531914893617	37	0.08258928571428571	10	0.06535947712418301	-0.04003609422492401	-0.02280628563482131
METTL4	dna_modification	47	1.0	446	0.9955357142857143	152	0.9934640522875817	0.004464285714285698	0.006535947712418277	2	0.0425531914893617	6	0.013392857142857142	3	0.0196078431372549	0.029160334346504557	0.0229453483521068
MTA1	chromatin_remodeling	47	1.0	444	0.9910714285714286	153	1.0	0.008928571428571397	0.0	1	0.02127659574468085	4	0.008928571428571428	1	0.006535947712418301	0.012348024316109422	0.014740648032262549
