metric	group1	group2	n1	n2	median1	median2	mean1	mean2	carrier_rate1	carrier_rate2	p_wilcox
SNV_nonsyn_count	case	control	495	153	7014	7105	6983.385858585859	7084.222222222223	1	1	3.0086385644264856e-8
SNV_nonsyn_count	abnormal	control	47	153	6991	7105	6972.68085106383	7084.222222222223	1	1	0.0033853208259000626
SNV_nonsyn_count	abnormal	normal	47	448	6991	7016	6972.68085106383	6984.508928571428	1	1	0.7603944946675799
SNV_nonsyn_count	abnormal	non_abnormal	47	601	6991	7036	6972.68085106383	7009.893510815308	1	1	0.2921552724525841
SNV_mut_per_Mb	case	control	495	153	81.77352720211421	82.83446118777039	81.41660870686205	82.59222107138736	1	1	3.0086385644264856e-8
SNV_mut_per_Mb	abnormal	control	47	153	81.50537905189343	82.83446118777039	81.29180314316068	82.59222107138736	1	1	0.0033853208259000626
SNV_mut_per_Mb	abnormal	normal	47	448	81.50537905189343	81.7968444325682	81.29180314316068	81.42970214769679	1	1	0.7603944946675799
SNV_mut_per_Mb	abnormal	non_abnormal	47	601	81.50537905189343	82.03001673710801	81.29180314316068	81.72565122477609	1	1	0.2921552724525841
SV_total	case	control	495	153	17156	17154	17428.577777777777	17363.986928104576	1	1	0.9538996550087403
SV_total	abnormal	control	47	153	17473	17154	17762.531914893618	17363.986928104576	1	1	0.5075131377071733
SV_total	abnormal	normal	47	448	17473	17137	17762.531914893618	17393.542410714286	1	1	0.43329077285095935
SV_total	abnormal	non_abnormal	47	601	17473	17146	17762.531914893618	17386.01830282862	1	1	0.4366197624728786
SV_plp_count	case	control	495	153	49	51	49.06666666666667	50.64052287581699	1	1	0.016060959623305674
SV_plp_count	abnormal	control	47	153	49	51	50.319148936170215	50.64052287581699	1	1	0.5943909669299181
SV_plp_count	abnormal	normal	47	448	49	49	50.319148936170215	48.935267857142854	1	1	0.3211700191845945
SV_plp_count	abnormal	non_abnormal	47	601	49	50	50.319148936170215	49.369384359400996	1	1	0.5491881640424571
SV_plp_rare_count	case	control	495	153	16	17	16.143434343434343	16.934640522875817	1	1	0.01918071703837624
SV_plp_rare_count	abnormal	control	47	153	16	17	16.893617021276597	16.934640522875817	1	1	0.5905771905648725
SV_plp_rare_count	abnormal	normal	47	448	16	16	16.893617021276597	16.064732142857142	1	1	0.36506998003861785
SV_plp_rare_count	abnormal	non_abnormal	47	601	16	17	16.893617021276597	16.286189683860233	1	1	0.5945629452769772
SV_plp_strict_rare_count	case	control	495	153	0	0	0.23636363636363636	0.16339869281045752	0.19797979797979798	0.1503267973856209	0.16928638402520252
SV_plp_strict_rare_count	abnormal	control	47	153	0	0	0.2127659574468085	0.16339869281045752	0.2127659574468085	0.1503267973856209	0.33796016332264633
SV_plp_strict_rare_count	abnormal	normal	47	448	0	0	0.2127659574468085	0.23883928571428573	0.2127659574468085	0.19642857142857142	0.8812393172687134
SV_plp_strict_rare_count	abnormal	non_abnormal	47	601	0	0	0.2127659574468085	0.21963394342762063	0.2127659574468085	0.18469217970049917	0.7100270755741823
