gene	gene_class	nonsyn_abnormal_n	nonsyn_abnormal_rate	nonsyn_normal_n	nonsyn_normal_rate	nonsyn_control_n	nonsyn_control_rate	nonsyn_rate_ab_minus_normal	nonsyn_rate_ab_minus_control	rare_abnormal_n	rare_abnormal_rate	rare_normal_n	rare_normal_rate	rare_control_n	rare_control_rate	rare_rate_ab_minus_normal	rare_rate_ab_minus_control
ASXL3	polycomb	47	1.0	349	0.9803370786516854	107	0.9727272727272728	0.0196629213483146	0.027272727272727226	1	0.02127659574468085	46	0.12921348314606743	10	0.09090909090909091	-0.10793688740138657	-0.06963249516441006
BAHD1	chromatin_remodeling	47	1.0	346	0.9719101123595506	106	0.9636363636363636	0.028089887640449396	0.036363636363636376	1	0.02127659574468085	9	0.025280898876404494	1	0.00909090909090909	-0.004004303131723643	0.01218568665377176
BRCA2	histone_write	47	1.0	355	0.9971910112359551	110	1.0	0.002808988764044895	0.0	5	0.10638297872340426	26	0.07303370786516854	12	0.10909090909090909	0.03334927085823572	-0.0027079303675048294
BRDT	histone_read	47	1.0	354	0.9943820224719101	109	0.990909090909091	0.005617977528089901	0.009090909090909038	0	0.0	4	0.011235955056179775	1	0.00909090909090909	-0.011235955056179775	-0.00909090909090909
CHD5	chromatin_remodeling	47	1.0	354	0.9943820224719101	108	0.9818181818181818	0.005617977528089901	0.018181818181818188	1	0.02127659574468085	22	0.06179775280898876	5	0.045454545454545456	-0.04052115706430791	-0.024177949709864605
CRB2	histone_read	47	1.0	355	0.9971910112359551	109	0.990909090909091	0.002808988764044895	0.009090909090909038	6	0.1276595744680851	22	0.06179775280898876	10	0.09090909090909091	0.06586182165909633	0.036750483558994185
ELP4	histone_write	47	1.0	350	0.9831460674157303	106	0.9636363636363636	0.016853932584269704	0.036363636363636376	1	0.02127659574468085	5	0.014044943820224719	2	0.01818181818181818	0.007231651924456132	0.0030947775628626696
ERCC6	chromatin_remodeling	47	1.0	355	0.9971910112359551	110	1.0	0.002808988764044895	0.0	2	0.0425531914893617	25	0.0702247191011236	8	0.07272727272727272	-0.0276715276117619	-0.030174081237911023
METTL4	dna_modification	47	1.0	356	1.0	109	0.990909090909091	0.0	0.009090909090909038	2	0.0425531914893617	5	0.014044943820224719	2	0.01818181818181818	0.028508247669136982	0.02437137330754352
MTA1	chromatin_remodeling	47	1.0	353	0.9915730337078652	110	1.0	0.008426966292134797	0.0	1	0.02127659574468085	3	0.008426966292134831	1	0.00909090909090909	0.01284962945254602	0.01218568665377176
NAT10	histone_write	47	1.0	353	0.9915730337078652	109	0.990909090909091	0.008426966292134797	0.009090909090909038	2	0.0425531914893617	8	0.02247191011235955	1	0.00909090909090909	0.02008128137700215	0.033462282398452614
NCOA3	histone_write	47	1.0	353	0.9915730337078652	110	1.0	0.008426966292134797	0.0	0	0.0	8	0.02247191011235955	3	0.02727272727272727	-0.02247191011235955	-0.02727272727272727
NEK9	histone_write	47	1.0	337	0.9466292134831461	98	0.8909090909090909	0.053370786516853896	0.10909090909090913	4	0.0851063829787234	37	0.10393258426966293	12	0.10909090909090909	-0.018826201290939523	-0.023984526112185683
PHIP	histone_read	47	1.0	351	0.9859550561797753	107	0.9727272727272728	0.014044943820224698	0.027272727272727226	1	0.02127659574468085	2	0.0056179775280898875	4	0.03636363636363636	0.015658618216590963	-0.015087040618955511
PRKCA	histone_write	47	1.0	352	0.9887640449438202	108	0.9818181818181818	0.011235955056179803	0.018181818181818188	0	0.0	0	0.0	0	0.0	0.0	0.0
SP140	histone_read	47	1.0	355	0.9971910112359551	110	1.0	0.002808988764044895	0.0	2	0.0425531914893617	2	0.0056179775280898875	0	0.0	0.036935213961271814	0.0425531914893617
TAF4	histone_chaperone	47	1.0	348	0.9775280898876404	107	0.9727272727272728	0.022471910112359605	0.027272727272727226	0	0.0	5	0.014044943820224719	4	0.03636363636363636	-0.014044943820224719	-0.03636363636363636
