gene	class	priority	epifactors_function	modification	target	complex_name	source	match_rule
AICDA	dna_modification	1	DNA modification	DNA demethylation	DNA	APOB_mRNA_editosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ALKBH1	dna_modification	1	RNA modification, DNA modification	DNA demethylation, RNA demethylation	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ALKBH4	dna_modification	1	DNA modification	DNA demethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APEX1	dna_modification	1	DNA modification cofactor	DNA demethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC1	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	APOB_mRNA_editosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC2	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3A	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3B	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3C	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3D	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3F	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	APOB_mRNA_editosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3G	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	APOB_mRNA_editosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
APOBEC3H	dna_modification	1	DNA modification, RNA modification	DNA demethylation, mRNA editing	DNA, RNA	APOB_mRNA_editosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CENPC	dna_modification	1	DNA modification	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL5	dna_modification	1	DNA modification cofactor	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DNMT1	dna_modification	1	DNA modification	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DNMT3A	dna_modification	1	DNA modification	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DNMT3B	dna_modification	1	DNA modification	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD4	dna_modification	1	DNA modification	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
METTL4	dna_modification	1	RNA modification, DNA modification	RNA methylation, DNA methylation	DNA, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM14	dna_modification	1	DNA modification	DNA demethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RMI1	dna_modification	1	DNA modification	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TDG	dna_modification	1	DNA modification	DNA hydroxymethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TET1	dna_modification	1	DNA modification	DNA hydroxymethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TET2	dna_modification	1	DNA modification	DNA hydroxymethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TET3	dna_modification	1	DNA modification	DNA hydroxymethylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
TFPT	dna_modification	1	Chromatin remodeling cofactor, DNA modification	DNA hydroxymethylation	chromatin	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
UBR7	dna_modification	1	DNA modification cofactor	DNA methylation	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
USP7	dna_modification	1	Histone modification erase, DNA modification cofactor	Histone ubiquitination, DNA methylation	histone, DNA	BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTB	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, npBAF, PBAF, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, NuA4, NuA4-related complex	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTL6A	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTL6B	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTR3B	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTR5	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	Ino80	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ACTR6	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	SRCAP	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ADNP	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ANP32A	chromatin_remodeling	2	Chromatin remodeling cofactor	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARID1A	chromatin_remodeling	2	Chromatin remodeling cofactor	#	DNA	BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, WINAC, bBAF, SWI/SNF BRM-BRG1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ARID2	chromatin_remodeling	2	Chromatin remodeling cofactor	#	DNA	PBAF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATAD2	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATRX	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BAHD1	chromatin_remodeling	2	Chromatin remodeling	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BAZ2A	chromatin_remodeling	2	Chromatin remodeling, Histone modification erase	Histone deacetylation	histone, DNA	NoRC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BPTF	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	NuRF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRMS1	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	mSin3A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDC6	chromatin_remodeling	2	Chromatin remodeling	#	chromatin	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHAF1A	chromatin_remodeling	2	Chromatin remodeling	#	histone	CAF-1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHAF1B	chromatin_remodeling	2	Chromatin remodeling	#	histone	WINAC, CAF-1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD1	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD1L	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD2	chromatin_remodeling	2	Chromatin remodeling	#	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHD3	chromatin_remodeling	2	Chromatin remodeling	#	DNA	NuRD	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
