coord_key	chrom	pos	end	svtype	sv_id	cohort_carrier	cohort_rate	abnormal_carrier	abnormal_total	abnormal_rate	normal_carrier	normal_total	normal_rate	control_carrier	control_total	control_rate	p_abnormal_vs_control	p_abnormal_vs_normal	p_normal_vs_control	fdr_abnormal_vs_control	fdr_abnormal_vs_normal	fdr_normal_vs_control	delta_abnormal_vs_normal	delta_abnormal_vs_control	abnormal_specific	enrichment_pattern
chr16:55449008:55449008:INS	chr16	55449008	55449008	INS	0008C_Sniffles2.INS.122SF	179	0.3489278752436647	20	47	0.425531914893617	143	356	0.40168539325842695	16	110	0.14545454545454545	0.00022109082897075224	0.43551243216916624	1.8735359664787082e-07	0.38668803498537596	1.0	0.005226741021197632	0.023846521635190077	0.2800773694390716	0	normal_vs_control
chr15:82457382:82457418:DEL	chr15	82457382	82457418	DEL	Sniffles2.DEL.6175ME	337	0.6569200779727096	32	47	0.6808510638297872	256	356	0.7191011235955056	49	110	0.44545454545454544	0.005446601396237165	0.7662198573146426	1.9915187735559657e-07	0.9272760784705912	1.0	0.005226741021197632	-0.03825005976571838	0.23539651837524178	0	normal_vs_control
chr2:1764436:1764436:INS	chr2	1764436	1764436	INS	0002C_Sniffles2.INS.5DS1	209	0.4074074074074074	25	47	0.5319148936170213	162	356	0.4550561797752809	22	110	0.2	4.9624959487141924e-05	0.2010291842027384	7.0637632030504e-07	0.21706784362333997	1.0	0.007977885450144231	0.07685871384174037	0.33191489361702126	0	normal_vs_control
chr18:5972893:5972933:DEL	chr18	5972893	5972933	DEL	0003C_Sniffles2.DEL.1A6S11	171	0.3333333333333333	13	47	0.2765957446808511	141	356	0.3960674157303371	17	110	0.15454545454545454	0.06177522604652767	0.9616869143382568	9.140440387996153e-07	1.0	1.0	0.007977885450144231	-0.11947167104948603	0.12205029013539653	0	normal_vs_control
chr5:1848194:1848194:INS	chr5	1848194	1848194	INS	Sniffles2.INS.49CM4	270	0.5263157894736842	28	47	0.5957446808510638	207	356	0.5814606741573034	35	110	0.3181818181818182	0.0011154045634516288	0.4910272930216855	1.0033199056987212e-06	0.6325467029244956	1.0	0.007977885450144231	0.014284006693760398	0.2775628626692456	0	normal_vs_control
chr2:240110814:240110859:DEL	chr2	240110814	240110859	DEL	Sniffles2.DEL.C337M1	170	0.3313840155945419	18	47	0.3829787234042553	136	356	0.38202247191011235	16	110	0.14545454545454545	0.001292563974206315	0.554589918586017	1.120590364779268e-06	0.6523719519816296	1.0	0.007977885450144231	0.0009562514941429678	0.23752417794970987	0	normal_vs_control
chr15:84498484:84498484:INS	chr15	84498484	84498484	INS	0003C_Sniffles2.INS.130SE	317	0.6179337231968811	30	47	0.6382978723404256	241	356	0.6769662921348315	46	110	0.41818181818181815	0.009140392024070462	0.7590872106219615	1.2028517368708894e-06	0.9272760784705912	1.0	0.007977885450144231	-0.03866841979440594	0.2201160541586074	0	normal_vs_control
chr11:4334659:4334659:INS	chr11	4334659	4334659	INS	0006C_Sniffles2.DEL.2FCSA	188	0.3664717348927875	16	47	0.3404255319148936	152	356	0.42696629213483145	20	110	0.18181818181818182	0.02700221234923289	0.9021971842353379	1.2159093846666766e-06	1.0	1.0	0.007977885450144231	-0.08654076021993784	0.15860735009671179	0	normal_vs_control
chr10:133460497:133460497:INS	chr10	133460497	133460497	INS	Sniffles2.DEL.7DB7M9	290	0.5653021442495126	24	47	0.5106382978723404	225	356	0.6320224719101124	41	110	0.37272727272727274	0.07677996133817923	0.9603449980982848	1.4356632531662498e-06	1.0	1.0	0.00837310712874405	-0.12138417403777202	0.13791102514506764	0	normal_vs_control
chr8:2089228:2089228:INS	chr8	2089228	2089228	INS	Sniffles2.INS.3CAM7	208	0.40545808966861596	24	47	0.5106382978723404	161	356	0.45224719101123595	23	110	0.20909090909090908	0.00021420350338787115	0.2739660500054419	2.307966293820864e-06	0.38668803498537596	1.0	0.012114515076265715	0.058391106861104436	0.3015473887814313	0	normal_vs_control
