chr	start	end	Trophoblasts	Stromal	Hofbauer	Endothelial	nRBC	Syncytiotrophoblast
NC_000007.14	87398570	87398571	0.147039265113933	0.84795657528462	0.928835013551631	0.808001291659879	0.908807384696252	0.25138311232832
NC_000002.12	63861344	63861345	0.129599454446008	0.388188647513989	0.0987723851140981	0.126703444022371	0.221344007230407	0.140428512332021
NC_000003.12	151330617	151330618	0.883911803532691	0.866157347525961	0.142900156851439	0.885768389283942	0.72078920383851	0.923031421727076
NC_000003.12	169837124	169837125	0.89424793362754	0.545276440401474	0.904009842778032	0.88915888720443	0.93809622743248	0.941855627110333
NC_000002.12	176159388	176159389	0.680703931043893	0.225649802229943	0.147856259012569	0.396430513077253	0.109627484095614	0.409672243559544
NC_000012.12	54984626	54984627	0.858241992047046	0.752541386219287	0.443332726997189	0.896697889551508	0.0497492342496459	0.877118479450013
NC_000013.11	98507401	98507402	0.0692711632322866	0.163560273160931	0.734423367044303	0.0954779124728939	0.347980590643666	0.365923180339185
NC_000005.10	2632063	2632064	0.19491592121686	0.868106995088167	0.966212561358817	0.786314492174907	0.918690945544575	0.477105988776879
NC_000011.10	128777211	128777212	0.0338748217450761	0.088555087224782	0.692259063299757	0.436564547288338	0.168042118646574	0.0439639503415245
NC_000015.10	96341889	96341890	0.420496968588001	0.0899182553907535	0.0484940100001942	0.258313000686036	0.028016621475054	0.946450156136526
NC_000003.12	128280918	128280919	0.142022103821351	0.653214631923895	0.887392866286193	0.727390721536539	0.826671504342277	0.752614811143861
NC_000020.11	63736535	63736536	0.971410168272423	0.835985410697392	0.875494148082396	0.980410906320887	0.158046161772759	0.980717407136396
NC_000011.10	5689837	5689838	0.0786972756732844	0.430083923849068	0.0693635273809184	0.283452964734486	0.0939550457070517	0.0694476668704667
NC_000003.12	13623521	13623522	0.60682055595792	0.892828374036885	0.953579073143018	0.854709980495596	0.910140509636002	0.108416410401652
NC_000007.14	106865515	106865516	0.749763637872459	0.344798544052653	0.118556331252061	0.423769116553035	0.0948101742309315	0.317862795440562
NC_000019.10	41933092	41933093	0.0720110543401034	0.195731702328549	0.733752524312876	0.0914315406447103	0.924588378886831	0.0902446456939782
NC_000004.12	158170936	158170937	0.264855977777231	0.565825137048628	0.362190266067552	0.290537177626318	0.354561272039366	0.184082347189472
NC_000005.10	172769149	172769150	0.680699079327923	0.874272460182976	0.933528267640213	0.363446081749225	0.930750462960107	0.904895904004618
NC_000018.10	79576200	79576201	0.13260453586794	0.73241752704897	0.932725633761576	0.631946343305842	0.915567216882823	0.423291574676791
NC_000012.12	114697221	114697222	0.904762019928889	0.156237898492206	0.0693025487012979	0.289472329542869	0.0346335966179575	0.907257123699065
NC_000001.11	55212975	55212976	0.895386078856788	0.725062541235796	0.498250365715744	0.891695761951961	0.0660965689205521	0.918325002647893
NC_000001.11	43058675	43058676	0.391142380342634	0.0954730585930705	0.0584380344945964	0.0934650952168233	0.0484534108196513	0.915571963310734
NC_000003.12	196625114	196625115	0.807242310447017	0.865485690544227	0.14005037919902	0.959057836036863	0.753235707117963	0.794016720766621
NC_000019.10	14440186	14440187	0.776859154919821	0.101899824253184	0.0388972648596806	0.122581193558697	0.0171201091532323	0.77493463228492
NC_000001.11	207959144	207959145	0.157706079294636	0.122003461041409	0.107983603945256	0.59223587073207	0.104120775753676	0.402194712403159
NC_000001.11	202159553	202159554	0.877715061513095	0.686094286356511	0.440480117012707	0.916871142874936	0.0349274823629351	0.950930558318732
NC_000005.10	39219142	39219143	0.192569727499735	0.254083103499283	0.0444191300835168	0.670482533957562	0.446780640424814	0.0879767385654829
NC_000006.12	151045254	151045255	0.465916909747654	0.708575014665224	0.889692813035318	0.224183989146055	0.798931101227468	0.886692377216647
NC_000002.12	43223825	43223826	0.309673393890607	0.0848367991883338	0.0468977544276915	0.111320495118756	0.0279849597935494	0.901959518995378
NC_000001.11	217140941	217140942	0.715269632775009	0.172536817888531	0.224360467935485	0.278847612170806	0.12556240292734	0.570952434644943
NC_000016.10	67884795	67884796	0.0504374663118985	0.417987397517289	0.862816788143255	0.643840174234404	0.965057878755907	0.534257593107256
NC_000002.12	217978505	217978506	0.0393219393549748	0.259059533002058	0.672436544466878	0.0602812542781816	0.941401255997689	0.0593696193770984
NC_000011.10	47071440	47071441	0.0635208666834	0.28990694411918	0.857547636221111	0.595887529333762	0.373717535891113	0.128742811086516
NC_000013.11	114067357	114067358	0.135166769350486	0.374048714992773	0.0744438699335706	0.646798071470427	0.213034913299645	0.14917857063105
NC_000002.12	239003800	239003801	0.0614957112373009	0.770536747277344	0.936130561487678	0.677443445707576	0.91680168331569	0.190916219847438
NC_000002.12	71560677	71560678	0.131015033845631	0.819863078241143	0.969406474109855	0.778577336411771	0.978073689772637	0.952331310279597
NC_000019.10	54365141	54365142	0.416121075418791	0.431033645979867	0.0874379076044208	0.791003872274501	0.0656365239638178	0.337970296532748
NC_000014.9	69696037	69696038	0.13100032461408	0.366240830535601	0.0544722590730305	0.150043341660954	0.14572813459269	0.18343571124898
NC_000019.10	10461685	10461686	0.0515782356923334	0.379914157915376	0.0903471098273671	0.0684585938394351	0.0217321405972454	0.0656724579334537
NC_000007.14	2440899	2440900	0.0578453953812261	0.644009356335113	0.88444122879136	0.709315997055125	0.882141084620339	0.0680003951549347
NC_000012.12	570733	570734	0.0479973473009843	0.162308764364113	0.479464132885563	0.0767631448497466	0.899261730801854	0.0811359565001728
NC_000007.14	97017804	97017805	0.0951335321123683	0.0669948880606397	0.0402052185335006	0.0602014123109502	0.0750910864426272	0.89669356876259
NC_000016.10	29664749	29664750	0.92586442147713	0.707650505678338	0.526590258846986	0.92980499279787	0.0151527123013652	0.964105958051586
NC_000017.11	48113339	48113340	0.930057343067311	0.904673263011	0.217646125924142	0.924541422121775	0.832110651628654	0.935200505558723
NC_000004.12	78075009	78075010	0.869522729272678	0.468572467751837	0.701820641194964	0.878432757512188	0.828589263737716	0.891027656715785
NC_000002.12	23939570	23939571	0.123400604640598	0.0540589251979548	0.0449920139044486	0.0744466434088011	0.0416539546341975	0.858174126959033
NC_000001.11	3219147	3219148	0.120650673241538	0.723328219333955	0.961706958188041	0.634391094053923	0.925327784568753	0.355265038937699
NC_000005.10	81396447	81396448	0.0459045804267889	0.359656974772934	0.0880542917293516	0.150387457260585	0.102635763206267	0.268941660189981
NC_000013.11	48585630	48585631	0.802561275374775	0.798072230956011	0.762735749352159	0.310282086868098	0.845953710921436	0.876135783600571
NC_000007.14	129627116	129627117	0.903617646140798	0.889025510331785	0.170235519663295	0.912477282057162	0.73744943432354	0.922075853173855
NC_000005.10	123094738	123094739	0.771736111356675	0.0952615724783941	0.0650581892149657	0.203380084073526	0.0545949649788202	0.643224427725144
NC_000008.11	13116392	13116393	0.146597077138797	0.193865062640784	0.81604499696058	0.161280988254458	0.296407876588895	0.578960725732911
NC_000004.12	158170684	158170685	0.325018682604342	0.721831658104608	0.481121493415385	0.391610068243075	0.460666694932629	0.268334684219518
NC_000019.10	7473197	7473198	0.923324836121619	0.890377282726743	0.163230575817285	0.925439215145654	0.736628350463698	0.937032290639774
