site	gene_id	gene_name	chrom	pos	n_sig_windows	min_p	windows
NC_000006.12:7437906	ENSG00000124784.9	RIOK1	chr6	7437906	1	9.3387e-51	dn
NC_000003.12:122480288	ENSG00000114030.13	KPNA1	chr3	122480288	2	4.07591e-42	body,up
NC_000007.14:100956290	ENSG00000169894.18	MUC3A	chr7	100956290	1	3.11659e-41	body
NC_000015.10:50877531	ENSG00000081014.11	AP4E1	chr15	50877531	1	5.1756e-36	up
NC_000007.14:94840778	ENSG00000158528.12	PPP1R9A	chr7	94840778	1	3.692e-35	up
NC_000001.11:93137625	ENSG00000122483.18	CCDC18	chr1	93137625	2	4.3252200000000006e-34	dn,prom
NC_000008.11:81643272	ENSG00000133731.10	IMPA1	chr8	81643272	3	3.8121e-33	body,dn,up
NC_000002.12:102210043	ENSG00000115598.10	IL1RL2	chr2	102210043	1	1.98417e-32	body
NC_000005.10:126500938	ENSG00000164904.18	ALDH7A1	chr5	126500938	1	1.1451299999999999e-31	up
NC_000006.12:160619142	ENSG00000198670.13	LPA	chr6	160619142	3	6.46995e-30	body,dn,up
NC_000020.11:25177003	ENSG00000197586.13	ENTPD6	chr20	25177003	1	1.31345e-29	up
NC_000003.12:100124901	ENSG00000168386.19	FILIP1L	chr3	100124901	2	1.55699e-29	body,dn
NC_000019.10:20132848	ENSG00000256229.8	ZNF486	chr19	20132848	2	2.08538e-29	dn,up
NC_000011.10:102597993	ENSG00000137674.4	MMP20	chr11	102597993	4	2.11455e-29	body,dn,enh,up
NC_000011.10:102608691	ENSG00000137674.4	MMP20	chr11	102608691	4	4.21511e-28	body,dn,enh,up
NC_000007.14:48926249	ENSG00000218305.5	CDC14C	chr7	48926249	2	2.1521299999999997e-27	dn,up
NC_000017.11:21299471	ENSG00000034152.20	MAP2K3	chr17	21299471	1	2.26851e-27	body
NC_000020.11:30394079	ENSG00000215547.1	DEFB115	chr20	30394079	1	6.90032e-27	up
NC_000008.11:691184	ENSG00000198010.13	DLGAP2	chr8	691184	2	1.33539e-25	enh,up
NC_000002.12:662442	ENSG00000151353.15	TMEM18	chr2	662442	3	1.62389e-25	body,dn,up
NC_000009.12:113087673	ENSG00000136866.14	ZFP37	chr9	113087673	1	1.66365e-25	dn
NC_000007.14:100952437	ENSG00000169894.18	MUC3A	chr7	100952437	1	2.41526e-25	body
NC_000001.11:93835042	ENSG00000137936.18	BCAR3	chr1	93835042	2	3.52458e-25	body,up
