coord_key	chrom	pos	end	svtype	sv_id	cohort_carrier	cohort_rate	abnormal_carrier	abnormal_total	abnormal_rate	normal_carrier	normal_total	normal_rate	control_carrier	control_total	control_rate	p_abnormal_vs_control	p_abnormal_vs_normal	p_normal_vs_control	fdr_abnormal_vs_control	fdr_abnormal_vs_normal	fdr_normal_vs_control	delta_abnormal_vs_normal	delta_abnormal_vs_control	abnormal_specific	enrichment_pattern
chr17:653212:653272:DEL	chr17	653212	653272	DEL	Sniffles2.DEL.2C6M10	3	0.005847953216374269	2	47	0.0425531914893617	1	356	0.0028089887640449437	0	110	0.0	0.08827372203168382	0.03704037561738038	0.7639484978540773	1.0	0.7446077495705287	1.0	0.03974420272531676	0.0425531914893617	0	none
chr16:89647657:89647783:DEL	chr16	89647657	89647783	DEL	Sniffles2.DEL.7862MF	16	0.031189083820662766	6	47	0.1276595744680851	4	356	0.011235955056179775	6	110	0.05454545454545454	0.10792402945342448	0.00027153367158862116	0.997806406569121	1.0	0.022537294741855556	1.0	0.11642361941190532	0.07311411992263056	0	none
chr20:34474335:34486177:DEL	chr20	34474335	34486177	DEL	0006C_Sniffles2.DEL.277S13	15	0.029239766081871343	3	47	0.06382978723404255	10	356	0.028089887640449437	2	110	0.01818181818181818	0.15879219826572344	0.18438593974933998	0.4329165764682762	1.0	0.8356261393476512	1.0	0.03573989959359311	0.04564796905222437	0	none
chr1:24344491:24344531:DEL	chr1	24344491	24344531	DEL	Sniffles2.DEL.1C29M0	8	0.015594541910331383	2	47	0.0425531914893617	5	356	0.014044943820224719	1	110	0.00909090909090909	0.2135654565282673	0.1912879114169322	0.5668516242700395	1.0	0.8356261393476512	1.0	0.028508247669136982	0.033462282398452614	0	none
chr22:36899155:37017839:DEL	chr22	36899155	37017839	DEL	0074c_Sniffles2.DEL.BFAS15	7	0.01364522417153996	2	47	0.0425531914893617	4	356	0.011235955056179775	1	110	0.00909090909090909	0.2135654565282673	0.14727055216522736	0.6623431349114748	1.0	0.814897055314258	1.0	0.031317236433181926	0.033462282398452614	0	none
chr6:51870617:51872007:DEL	chr6	51870617	51872007	DEL	Sniffles2.DEL.273EM5	8	0.015594541910331383	2	47	0.0425531914893617	5	356	0.014044943820224719	1	110	0.00909090909090909	0.2135654565282673	0.1912879114169322	0.5668516242700395	1.0	0.8356261393476512	1.0	0.028508247669136982	0.033462282398452614	0	none
chr1:152305542:152306513:DEL	chr1	152305542	152306513	DEL	Sniffles2.DEL.90B2M0	25	0.04873294346978557	3	47	0.06382978723404255	19	356	0.05337078651685393	3	110	0.02727272727272727	0.2514537254016059	0.4851981887231776	0.19493713124858478	1.0	1.0	1.0	0.010459000717188617	0.03655705996131528	0	none
chr1:108190703:108193181:DEL	chr1	108190703	108193181	DEL	0002C_Sniffles2.DEL.633S0	98	0.19103313840155944	9	47	0.19148936170212766	74	356	0.20786516853932585	15	110	0.13636363636363635	0.25797969531856807	0.6658343630998496	0.06022467635739778	1.0	1.0	1.0	-0.016375806837198192	0.055125725338491305	0	none
chr20:2658741:2658784:DEL	chr20	2658741	2658784	DEL	Sniffles2.INS.2C3M13	188	0.3664717348927875	21	47	0.44680851063829785	125	356	0.351123595505618	42	110	0.38181818181818183	0.2789902967148272	0.13156303781803227	0.759055383931424	1.0	0.7799808670640485	1.0	0.09568491513267985	0.06499032882011602	0	none
chr16:66770074:66770121:DEL	chr16	66770074	66770121	DEL	Sniffles2.DEL.1444MF	2	0.003898635477582846	1	47	0.02127659574468085	1	356	0.0028089887640449437	0	110	0.0	0.29936305732484075	0.21990543560115058	0.7639484978540773	1.0	0.8691500549950236	1.0	0.018467606980635907	0.02127659574468085	0	none
chr16:53954867:53958206:DEL	chr16	53954867	53958206	DEL	Sniffles2.DEL.2538MF	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr16:89692133:89692178:DEL	chr16	89692133	89692178	DEL	Sniffles2.DEL.7871MF	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr17:4955772:4955851:DEL	chr17	4955772	4955851	DEL	Sniffles2.DEL.884M10	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr19:4512626:4512824:DEL	chr19	4512626	4512824	DEL	Sniffles2.DEL.754M12	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr22:36548508:37405397:DEL	chr22	36548508	37405397	DEL	Sniffles2.DEL.44C7M15	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr22:24447048:24528703:DEL	chr22	24447048	24528703	DEL	174_Sniffles2.DEL.DFES15	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr7:61578445:98423735:DEL	chr7	61578445	98423735	DEL	Sniffles2.DEL.396CM6	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr7:66082502:66088306:DEL	chr7	66082502	66088306	DEL	N22040_Sniffles2.DEL.55AS6	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
chr9:75541793:77609510:DEL	chr9	75541793	77609510	DEL	Sniffles2.DEL.1C01M8	3	0.005847953216374269	1	47	0.02127659574468085	2	356	0.0056179775280898875	0	110	0.0	0.29936305732484075	0.3113379655930357	0.5832294983617149	1.0	0.9938865824700756	1.0	0.015658618216590963	0.02127659574468085	0	none
chr9:75534527:77609395:DEL	chr9	75534527	77609395	DEL	CS201955_Sniffles2.DEL.52CS8	1	0.001949317738791423	1	47	0.02127659574468085	0	356	0.0	0	110	0.0	0.29936305732484075	0.11662531017369727	1.0	1.0	0.7446077495705287	1.0	0.02127659574468085	0.02127659574468085	0	none
