gene	gene_class	any_abnormal_n	any_abnormal_rate	any_normal_n	any_normal_rate	any_control_n	any_control_rate	any_rate_ab_minus_normal	any_rate_ab_minus_control	exon_abnormal_n	exon_abnormal_rate	exon_normal_n	exon_normal_rate	exon_control_n	exon_control_rate	exon_rate_ab_minus_normal	exon_rate_ab_minus_control	acmg4_abnormal_n	acmg4_abnormal_rate	acmg4_normal_n	acmg4_normal_rate	acmg4_control_n	acmg4_control_rate	acmg4_rate_ab_minus_normal	acmg4_rate_ab_minus_control
THRAP3	rna_modification	51	0.6623376623376623	278	0.6650717703349283	106	0.6928104575163399	-0.002734107997265922	-0.030472795178677514	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HDAC4	histone_erase	44	0.5714285714285714	230	0.5502392344497608	84	0.5490196078431373	0.021189336978810647	0.022408963585434094	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SMYD3	histone_write	44	0.5714285714285714	213	0.5095693779904307	67	0.43790849673202614	0.061859193438140725	0.13352007469654525	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0
FTO	rna_modification	43	0.5584415584415584	195	0.4665071770334928	76	0.49673202614379086	0.09193438140806559	0.061709532297767544	0	0.0	1	0.0023923444976076554	0	0.0	-0.0023923444976076554	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM6B	histone_erase	43	0.5584415584415584	201	0.48086124401913877	78	0.5098039215686274	0.07758031442241964	0.04863763687293099	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
GSE1	histone_erase	40	0.5194805194805194	194	0.46411483253588515	77	0.5032679738562091	0.055365686944634285	0.016212545624310293	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
L3MBTL4	histone_read	40	0.5194805194805194	194	0.46411483253588515	81	0.5294117647058824	0.055365686944634285	-0.009931245225362928	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PCGF3	polycomb	40	0.5194805194805194	202	0.48325358851674644	81	0.5294117647058824	0.036226930963772996	-0.009931245225362928	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PRDM16	histone_write	37	0.4805194805194805	214	0.5119617224880383	83	0.5424836601307189	-0.03144224196855777	-0.0619641796112384	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SP100	chromatin_remodeling	37	0.4805194805194805	217	0.5191387559808612	78	0.5098039215686274	-0.03861927546138072	-0.029284441049146903	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
