coord_key	svtype	abnormal_rate	normal_rate	control_rate	fdr_abnormal_vs_control	enrichment_pattern	cohort_carrier
chr22:22558121:22558169:DEL	DEL	0.4805194805194805	0.3277511961722488	0.09803921568627451	1.1591763792495598e-05	case_vs_control	189
chr22:11042769:11042769:INS	INS	0.5064935064935064	0.35167464114832536	0.1437908496732026	0.000215066105184504	case_vs_control	208
chr22:11823569:38536104:DEL	DEL	0.45454545454545453	0.291866028708134	0.1111111111111111	0.000215066105184504	case_vs_control	174
chr3:188907518:188907518:INS	INS	0.6623376623376623	0.5717703349282297	0.28104575163398693	0.0004253732485852891	case_vs_control	333
chr4:139368025:139368025:INS	INS	0.5714285714285714	0.5119617224880383	0.20915032679738563	0.0006073438184003212	case_vs_control	290
chr13:88515302:88515302:INS	INS	0.6493506493506493	0.5645933014354066	0.28104575163398693	0.0007913782687301694	case_vs_control	329
chr13:111307701:111307701:INS	INS	0.6233766233766234	0.5669856459330144	0.26143790849673204	0.0008163345386381964	case_vs_control	325
chr5:1848194:1848194:INS	INS	0.6233766233766234	0.5789473684210527	0.26143790849673204	0.0008163345386381964	case_vs_control	330
chr19:20876857:20876857:INS	INS	0.5454545454545454	0.4138755980861244	0.20261437908496732	0.0012857724625072	case_vs_control	246
chr7:100787975:100787975:INS	INS	0.5974025974025974	0.4449760765550239	0.24836601307189543	0.0014592699622800259	case_vs_control	270
chr2:1764436:1764436:INS	INS	0.4805194805194805	0.44258373205741625	0.1568627450980392	0.0014592699622800259	case_vs_control	246
chr11:69113752:69113791:DEL	DEL	0.6363636363636364	0.5765550239234449	0.2875816993464052	0.0017501609364575432	case_vs_control	334
chr8:99815130:99815130:INS	INS	0.37662337662337664	0.29904306220095694	0.0915032679738562	0.0017501609364575432	case_vs_control	168
chr10:132927361:132927361:INS	INS	0.6623376623376623	0.5574162679425837	0.3137254901960784	0.0017501609364575432	case_vs_control	332
chr14:98168984:98168984:INS	INS	0.5584415584415584	0.4473684210526316	0.2222222222222222	0.0017501609364575432	case_vs_control	264
chr20:33057480:33057480:INS	INS	0.5324675324675324	0.423444976076555	0.20261437908496732	0.0018398139106416461	case_vs_control	249
chr2:242001606:242001606:INS	INS	0.5064935064935064	0.3708133971291866	0.1830065359477124	0.0018398139106416461	case_vs_control	222
chr9:34875935:34875951:DEL	DEL	0.5454545454545454	0.47129186602870815	0.21568627450980393	0.0020784176926986566	case_vs_control	272
chr18:72172043:72172043:INS	INS	0.38961038961038963	0.3062200956937799	0.10457516339869281	0.0021392005046676874	case_vs_control	174
chr4:172206776:172206808:DEL	DEL	0.38961038961038963	0.3492822966507177	0.10457516339869281	0.0021392005046676874	case_vs_control	192
