gene	gene_class	any_abnormal_n	any_abnormal_rate	any_normal_n	any_normal_rate	any_control_n	any_control_rate	any_rate_ab_minus_normal	any_rate_ab_minus_control	exon_abnormal_n	exon_abnormal_rate	exon_normal_n	exon_normal_rate	exon_control_n	exon_control_rate	exon_rate_ab_minus_normal	exon_rate_ab_minus_control	acmg4_abnormal_n	acmg4_abnormal_rate	acmg4_normal_n	acmg4_normal_rate	acmg4_control_n	acmg4_control_rate	acmg4_rate_ab_minus_normal	acmg4_rate_ab_minus_control
THRAP3	rna_modification	30	0.6382978723404256	299	0.6674107142857143	106	0.6928104575163399	-0.029112841945288737	-0.054512585175914285	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
KDM6B	histone_erase	29	0.6170212765957447	215	0.4799107142857143	78	0.5098039215686274	0.13711056231003038	0.10721735502711727	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
FTO	rna_modification	28	0.5957446808510638	210	0.46875	76	0.49673202614379086	0.1269946808510638	0.09901265470727294	0	0.0	1	0.002232142857142857	0	0.0	-0.002232142857142857	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
HDAC4	histone_erase	28	0.5957446808510638	246	0.5491071428571429	84	0.5490196078431373	0.0466375379939209	0.0467250730079265	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SMYD3	histone_write	28	0.5957446808510638	229	0.5111607142857143	67	0.43790849673202614	0.0845839665653495	0.15783618411903766	0	0.0	0	0.0	1	0.006535947712418301	0.0	-0.006535947712418301	0	0.0	0	0.0	0	0.0	0.0	0.0
L3MBTL4	histone_read	27	0.574468085106383	207	0.46205357142857145	81	0.5294117647058824	0.11241451367781158	0.04505632040050067	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
GSE1	histone_erase	26	0.5531914893617021	208	0.4642857142857143	77	0.5032679738562091	0.08890577507598785	0.04992351550549301	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PCGF3	polycomb	26	0.5531914893617021	216	0.48214285714285715	81	0.5294117647058824	0.071048632218845	0.02377972465581979	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
PHF21A	histone_erase	24	0.5106382978723404	170	0.3794642857142857	74	0.48366013071895425	0.1311740121580547	0.026978167153386134	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
SETD1B	histone_write	20	0.425531914893617	174	0.38839285714285715	67	0.43790849673202614	0.037139057750759874	-0.012376581838409118	20	0.425531914893617	174	0.38839285714285715	67	0.43790849673202614	0.037139057750759874	-0.012376581838409118	0	0.0	0	0.0	0	0.0	0.0	0.0
NCOR2	histone_erase	20	0.425531914893617	179	0.39955357142857145	75	0.49019607843137253	0.025978343465045572	-0.0646641635377555	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
