chrom	start	end	effect	n_cpg	n_sv_total	n_samples_with_sv	beta_all	p_all	beta_normal	p_normal
chr18	12730893	12732065	0.8919749	1	130	130	0.35727107014718623	0.3741494546204369	0.08231493447026275	0.8633005491619192
chr14	77645061	77645944	0.88989466	1	21	20	1.6815108193648454	0.0471425833400819	1.5774459457988814	0.11275075415386009
chr5	90202147	90226177	0.8848961	40	1	1	-0.44723446735162964	0.7608583258924821	-0.4048796077826593	0.7994420570511851
chr11	89887404	89947909	0.87460816	196	63	55	0.09582107524501858	0.4849904990351792	0.10178996551286991	0.5491231181345193
chr2	87822983	87825914	0.8675036	8	82	80	-0.29377232893455435	0.490829664025083	-0.3800630879796291	0.4747459538581561
chr1	93672612	93673513	0.8658184	1	0	0	3.9805103981097335e-14	0.0	0.0	
chr8	67474134	67475455	0.864888	2	13	13	1.4213254229744534	0.12759755623497293	1.608574576949251	0.14007367257111003
chr7	84879648	84881444	0.85882914	1	58	58	-0.33801691025869984	0.44600655326613914	-0.4414134447988074	0.44077201803491295
chr2	87954448	87955478	0.8570156	3	62	56	-0.3568874141329353	0.44363735487135403	-0.6607043363295588	0.2770737249291079
chr8	134852928	134853022	0.85485536	1	481	370	0.054925478484279075	0.7806754134151923	0.25291452910109	0.2987085896290498
chr1	248043112	248045795	0.84667027	2	294	264	0.5573806258030718	0.018617047686121945	0.4512014608988903	0.1261569704672184
chr7	635371	638012	0.845898	2	1529	535	0.08109966198026253	0.07717014295423452	0.12633355233797822	0.027238553514808417
chr3	193080720	193081504	0.84465444	3	186	183	0.05389652122085806	0.8435104179123811	0.03932896879380254	0.9120089396429815
chr9	86707632	86708384	0.84454596	2	13	13	-1.2012027828589122	0.2324227295636135	-1.0897686932349577	0.40940373319120915
chr6	17904789	17905361	0.8431317	2	44	41	0.43205860272502383	0.43882360845445245	0.06438567290658857	0.9227595843506832
chr14	20673287	20674657	0.84273624	4	23	23	-0.295949270402322	0.6916220177271608	0.35825678157178276	0.7196348393631926
